Name,Address,Phone,Website,Category,Email,Detail_URL
Burkentine Real Estate Group,"1454 Baltimore Street

Hanover
PA
17331",(717) 965-6142,http://burkentine.com,Real Estate - Property Management,,https://business.ycea-pa.org/list/member/burkentine-real-estate-group-22940
Buy Local Coalition,"125 Householder Ave.

Red Lion
PA
17356",(717) 244-2685,https://buylocalcoalition.com/,Business Associations,,https://business.ycea-pa.org/list/member/buy-local-coalition-22585
"C.S. Davidson, Inc.","38 N Duke St

York
PA
17401",(717) 846-4805,http://www.csdavidson.com,Engineers - Civil,,https://business.ycea-pa.org/list/member/c-s-davidson-inc-420
CBY Professional Services,"33 S Duke St

York
PA
17401",(717) 843-8685,http://www.cby.com,Employment Services,,https://business.ycea-pa.org/list/member/cby-professional-services-391
Central Bark York,"3615 E. Market Street 

York
PA
17402",(717) 650-2381,https://centralbarkyork.com/,Pet Industry,,https://business.ycea-pa.org/list/member/central-bark-york-22409
CGA Law Firm,"135 North George Street

York
PA
17401",(717) 848-4900,http://www.cgalaw.com,Attorneys,,https://business.ycea-pa.org/list/member/cga-law-firm-pc-york-380
Changing Currents Communications,"1975 Karyl Lane

York PA
PA
17404",(717) 424-4113,http://www.changingcurrentscommunications.com,Writers,,https://business.ycea-pa.org/list/member/changing-currents-communications-23848
Chas. A Schaefer Flower Shop,"124 W Market St

York
PA
17401",(717) 845-1571,https://www.schaeferflowers.com/,Florists,,https://business.ycea-pa.org/list/member/chas-a-schaefer-flower-shop-17879
City to City Market of Susquehanna Valley,"2925 E Prospect Rd

York
PA
17402",(888) 737-3578,,Business Services,,https://business.ycea-pa.org/list/member/city-to-city-market-of-susquehanna-valley-22604
Colony Packaging & Machine,"1776 Colony Rd

York
PA
17408",(717) 764-5088,http://www.colonypackaging.com,Packaging Equipment & Supplies,,https://business.ycea-pa.org/list/member/colony-packaging-machine-328
Compleat Restorations,"3570 Gillespie Dr

York
PA
17404",(800) 699-1176,http://www.CompleatRestorations.com,Fire & Water Restoration,,https://business.ycea-pa.org/list/member/compleat-restorations-7551
Consciously Co-Creating,"2021 East Market Street

York
PA
17402",717-542-3764,http://www.consciouslyco-creating.com,Business Services,,https://business.ycea-pa.org/list/member/consciously-co-creating-22278
"Controlled Environment Technologies, Inc.","4350 Lincoln Hwy

York
PA
17406",(717) 600-1815,http://www.buildingcontrolsystems-hvac.com,Control Systems,,https://business.ycea-pa.org/list/member/controlled-environment-technologies-inc-5932
"CORE Design Group, LLC","155 W. Market St Ste 200

York
PA
17401",(717) 741-2046,http://www.core-designgroup.com,Architects,,https://business.ycea-pa.org/list/member/core-design-group-llc-15370
Dale Carnegie Training,"415 Fallowfield Rd.
2nd Floor

Camp Hill
PA
17011",(717) 540-0801,http://www.mid-atlantic.dalecarnegie.com,Consultants - Management,,https://business.ycea-pa.org/list/member/dale-carnegie-training-407
DesignX Media,"711 S Royal St

York
PA
17402",(717) 781-7468,https://dxmedia.io/,Business Services,,https://business.ycea-pa.org/list/member/designx-media-23676
Destinations with Dana,"145 N. Lombard St
Box 166

Dallastown
PA
17313",(717) 434-8951,https://destinationswithdana.com/york-pa-wedding-photographer,Photographers,,https://business.ycea-pa.org/list/member/destinations-with-dana-23847
Dillsburg Area Business Association,"605 Sunset Drive

Dillsburg
PA
17019",,http://www.dillsburgbusiness.org,Business Associations,,https://business.ycea-pa.org/list/member/dillsburg-area-business-association-18991
Doceo,"255 St. Charles Way

York
PA
17402",(717) 718-8190,http://www.mydoceo.com,Advertising Agencies,,https://business.ycea-pa.org/list/member/doceo-14898
Downtown Inc,"144 ROOSEVELT AVE # 100

York
PA
17401",(717) 849-2331,http://www.downtownyorkpa.com,Economic Development,,https://business.ycea-pa.org/list/member/downtown-inc-3846
"Dynatech Controls, Inc.","711 Catherine St

Lancaster
PA
17603",(717) 393-5930,http://www.dynatechcontrols.com,Control Systems,,https://business.ycea-pa.org/list/member/dynatech-controls-inc-17734
"ECS Mid-Atlantic, LLC","52 Grumbacher Rd, Ste D

York
PA
17406",(717) 767-4788,http://www.ecslimited.com,Consultants - Engineering,,https://business.ycea-pa.org/list/member/ecs-mid-atlantic-llc-18124
"ELA Group, Inc.","743 South Broad St

Lititz
PA
17543",(717) 626-7271,http://www.elagroup.com,Engineers - Civil,,https://business.ycea-pa.org/list/member/ela-group-inc-lititz-743-south-broad-st-20666
"Electronic Systems Installers, Inc.","120 ROSE CT

York
PA
17406",(717) 843-9955,https://www.esiincpa.com/,Security Services & Systems,,https://business.ycea-pa.org/list/member/electronic-systems-installers-inc-6639
"Elite Property Management, Inc.","224 N George St

York
PA
17401",(717) 902-9474,http://Eliteyorkpa.com,Real Estate - Property Management,,https://business.ycea-pa.org/list/member/elite-property-management-inc-20656
"Elsner Bell & Associates, LLC","1555 Wyndham Dr

York
PA
17403",(717) 848-5288,http://www.elsnerbell.com,Consultants - Human Resources,,https://business.ycea-pa.org/list/member/elsner-bell-associates-llc-14972
ERN-Executive Referral Network,"211 Pauline Dr, Ste 120

York
PA
17402",(717) 779-0039,http://www.ernmoney.com,Business Associations,,https://business.ycea-pa.org/list/member/ern-executive-referral-network-961
Etzweiler Funeral Homes and Cremation Service,"1111 E Market St

York
PA
17403",(717) 843-0216,http://www.etzweilerfuneralhome.com,Funeral Directors,,https://business.ycea-pa.org/list/member/etzweiler-funeral-homes-and-cremation-service-york-535
European Wax Center - West York Location,"1211 Carlisle Rd

York
PA
17404",(223) 877-4030,https://locations.waxcenter.com/pa/york/york-delco-plaza-1333.html,Personal Services,,https://business.ycea-pa.org/list/member/european-wax-center-west-york-location-23726
Express Employment Professionals,"2210 E. Market St

York
PA
17402",(717) 718-4473,http://yorkpa.expresspros.com,Employment Services,,https://business.ycea-pa.org/list/member/express-employment-professionals-15703
Farquhar & Associates,"1770 E Market Street

York
PA
17402",(717) 841-6904,http://faassociates.net,Real Estate - Residential,,https://business.ycea-pa.org/list/member/farquhar-associates-york-23899
First Capital Gym,"2101 Industrial Highway

York
PA
17402",(717) 668-8902,http://www.firstcapitalgym.com,Personal Services,,https://business.ycea-pa.org/list/member/first-capital-gym-23092
"First Capital Insulation, Inc.","300 Hudson St

York
PA
17403-1346",(717) 843-1753,http://www.firstcapitalinsulation.com,Asbestos Removal,,https://business.ycea-pa.org/list/member/first-capital-insulation-inc-580
"Flickinger & Co., LLC","2501 Catherine St, Ste 1

York
PA
17408",(717) 843-2716,http://www.flickingercpa.com,Consultants - Business,,https://business.ycea-pa.org/list/member/flickinger-co-llc-york-5525
"Flourish As One, LLC","york
PA
17046",(717) 578-4327,http://www.flourishasone.com,Health & Nutrition,,https://business.ycea-pa.org/list/member/flourish-as-one-llc-23574
Fox Run Realty,"2026 S Queen St

York
PA
17403",(717) 848-3300,http://foxrunrealty.com/,Real Estate - Residential,,https://business.ycea-pa.org/list/member/fox-run-realty-617
Freeburn Law,"140 E. Market St.
First Floor

York
PA
17401",(717) 777-7777,http://www.freeburnlaw.com,Attorneys,,https://business.ycea-pa.org/list/member/freeburn-law-22925
G2 Rentals LLC,"670 Leaf St

York
PA
17404",(717) 578-5008,,Real Estate - Residential,,https://business.ycea-pa.org/list/member/g2-rentals-llc-23846
George M. Leader Family Corp.,"830 Cherry Dr

Hershey
PA
17033",(717) 533-2474,http://www.countrymeadows.com,Retirement Communities,,https://business.ycea-pa.org/list/member/george-m-leader-family-corp-hershey-945
"Geo-Technology Associates, Inc.","1803 Mt. Rose Ave., Suite A-1

York
PA
17403",(410) 515-9446,http://www.gtaeng.com,Engineers - Civil,,https://business.ycea-pa.org/list/member/geo-technology-associates-inc-york-15405
GML International LLC,"531 Dunmore Drive

Hanover
PA
17331",(717) 637-3825,http://www.whislersdrycleaners.com,Cleaning & Janitorial Services,,https://business.ycea-pa.org/list/member/gml-international-llc-23596
Gordon Freireich,"2805 Lehigh Rd

York
PA
17402-3839",(717) 755-1727,http://www.newtongroup.com,,,https://business.ycea-pa.org/list/member/gordon-freireich-1155
"Gordon L. Brown & Associates, Inc.","2238 S Queen St

York
PA
17402-4631",(717) 741-4621,http://www.glba-engineering.com,Surveyors,,https://business.ycea-pa.org/list/member/gordon-l-brown-associates-inc-234
Graham Capital Company,"1420 Sixth Ave

York
PA
17403",(717) 849-4001,http://www.thegrahamgroup.com/home.shtml,Holding Companies,,https://business.ycea-pa.org/list/member/graham-capital-company-686
Hayman Creative Studio,"100 E Fourth Ave

York
PA
17404-2543",(717) 843-8338,http://www.haymanstudio.com,Photographers,,https://business.ycea-pa.org/list/member/hayman-creative-studio-740
Heidlebaugh's Appliances,"1551 W Market St

York
PA
17404-5414",(717) 843-8929,http://www.heidlebaughs.com,Appliance Sales & Service,,https://business.ycea-pa.org/list/member/heidlebaugh-s-appliances-york-745
"Herbert, Rowland & Grubic, Inc.","96 South George Street
Suite 300

York
PA
17401",(717) 564-1121,http://www.hrg-inc.com,Engineers - Civil,,https://business.ycea-pa.org/list/member/herbert-rowland-grubic-inc-7356
"Higher Information Group, LLC","1501 West King Street

York
PA
17404",(717) 652-3310,http://www.higherinfogroup.com/,Business Services,,https://business.ycea-pa.org/list/member/higher-information-group-llc-14854
Hoffmeyer & Semmelman LLC,"30 N George St

York
PA
17401",(717) 846-8846,http://www.hoffsemm.com,Attorneys,,https://business.ycea-pa.org/list/member/hoffmeyer-semmelman-llp-york-777
Home Of The Clean LLC,"350 Larkin Dr.

Red Lion
PA
17356",(717) 208-8223,http://www.homeoftheclean.com,Cleaning & Janitorial Services,,https://business.ycea-pa.org/list/member/home-of-the-clean-llc-21119
"HyStar Enterprises, LLC","1537 East Market Street

York
Pennsylvania
17402",(717) 755-5225,http://www.hystar.us,Security Services & Systems,,https://business.ycea-pa.org/list/member/hystar-enterprises-llc-7518
Impax Digital Solutions,"495 Maryland Ave

York
PA
17404",(717) 846-8004,http://www.impaxinc.com,Copier Sales and Service,,https://business.ycea-pa.org/list/member/impax-digital-solutions-6080
Investment Real Estate & Moove In Self Storage,"320 N George St

York
PA
17401",(717) 767-1500,https://www.moovein.com,Moving & Storage,,https://business.ycea-pa.org/list/member/investment-real-estate-moove-in-self-storage-16409
J and A Maintenance Services Inc,"5913 Linglestown Road

Harrisburg
PA
17112",(717) 541-0618,http://www.svmcommercialservices.net,Cleaning & Janitorial Services,,https://business.ycea-pa.org/list/member/j-and-a-maintenance-services-inc-22464
"J. P. Lilley & Son, Inc.","2009 N Third St

Harrisburg
PA
17102",(717) 238-8123,http://www.jplilley.com,Audio/Video Sales & Service,,https://business.ycea-pa.org/list/member/j-p-lilley-son-inc-5795
J.D. Brown Center for Entrepreneurship,"410 Kings Mill Rd, Ste 105

York
PA
17401",(717) 815-6601,https://www.ycp.edu/about-us/offices-and-departments/advancement/jd-brown-center-for-entrepreneurship//,Economic Development,,https://business.ycea-pa.org/list/member/j-d-brown-center-for-entrepreneurship-17519
"James R. Holley & Associates, Inc.","18 S George St

York
PA
17401",(717) 846-4373,http://www.jrholley.com,Engineers - Civil,,https://business.ycea-pa.org/list/member/james-r-holley-associates-inc-york-783
Jason Langheine Images,"1324 S Ogontz St

York
PA
17403",(717) 332-5790,https://www.jasonlangheine.com/,Photographers,,https://business.ycea-pa.org/list/member/jason-langheine-images-22982
"JDB Engineering, Inc.","PO Box 22160

York
PA
17402",(717) 757-5602,http://www.jdbengineering.com,Consultants - Engineering,,https://business.ycea-pa.org/list/member/jdb-engineering-inc-841
JE Good Consulting Engineers LLC,"10709 Susquehanna Trail S.

Glen Rock
PA
17327",717-942-5955,http://www.jegoodce.com,Consultants - Engineering,,https://business.ycea-pa.org/list/member/je-good-consulting-engineers-llc-glen-rock-22249
JLE Consultants,,(717) 781-3750,http://www.jleconsultants.com,Credit Card Processing Services,,https://business.ycea-pa.org/list/member/jle-consultants-york-18436
John A Klinedinst PE LLC,"127 Mellinger Road
Wrightsville, PA 17368

Wrightsville
PA
17368",(717) 880-1932,,Consultants - Engineering,,https://business.ycea-pa.org/list/member/john-a-klinedinst-pe-llc-23859
"John W. Keffer Funeral Home & Crematory, Inc.","902 Mount Rose Ave

York
PA
17403",(717) 854-9211,http://www.kefferfh.com,Funeral Directors,,https://business.ycea-pa.org/list/member/john-w-keffer-funeral-home-crematory-inc-york-883
Joseph Kelly Janitorial,"766 Oatman St

York
PA
17404",(717) 848-6574,,Cleaning & Janitorial Services,,https://business.ycea-pa.org/list/member/joseph-kelly-janitorial-york-18800
K&R Consultant LLC,"567 W Market St

York
PA
17401",(717) 851-8225,http://www.krconsultantllc.info,Consultants - Management,,https://business.ycea-pa.org/list/member/k-r-consultant-llc-york-23573
"KCI Technologies, Inc.","5001 Louise Drive
Suite 200

Mechanicsburg
Pennsylvania
17055",(717) 691-1340,http://www.kci.com,Consultants - Engineering,,https://business.ycea-pa.org/list/member/kci-technologies-inc-16297
Keller Williams Keystone Realty,"2610 Course Road
Suite A

York
PA
17402",(717) 755-5599,http://mc810.yourkwoffice.com,Real Estate - Residential,,https://business.ycea-pa.org/list/member/keller-williams-keystone-realty-15713
Kleppers Security Source,"117 E King St

York
PA
17401",(717) 848-1754,http://www.kleppers.com,Locks & Locksmiths,,https://business.ycea-pa.org/list/member/kleppers-security-source-905
Knapers Stop & Go,"955A Keller Rd

York
PA
17406",(717) 417-3366,http://www.knapers.com,Portable Toilet Rentals,,https://business.ycea-pa.org/list/member/knapers-stop-go-16355
"Kuhner Associates Funeral Directors, Inc.","863 S George St

York
PA
17403-3203",(717) 854-0053,https://www.kuhnerequities.com/?fbclid=IwAR3_VohVNgr6ER2FBupJk_mL2WebuoKWpY9MolNZoEP2ZPbhmtQZvl8SPIU,Funeral Directors,,https://business.ycea-pa.org/list/member/kuhner-associates-funeral-directors-inc-york-9615
Kyocera,"2699 S Queen St

York
PA
17402",(717) 741-4894,http://www.kyoceradocumentsolutions.us,Office Equipment & Supplies,,https://business.ycea-pa.org/list/member/kyocera-1309
Landmark Commercial Realty,"425 N 21st Street
Suite 302

Camp Hill
PA
17011",(717) 731-1990,http://www.landmarkcr.com,Real Estate - Commercial,,https://business.ycea-pa.org/list/member/landmark-commercial-realty-23898
Leadership York,"238 North George St.

York
PA
17401",(717) 846-5323,http://www.leadershipyork.org,Leadership Development,,https://business.ycea-pa.org/list/member/leadership-york-york-3908
Lebo Skin Care Center,"1936 Powder Mill Rd

York
PA
17402",(717) 747-9950,http://www.leboskincare.com,Personal Services,,https://business.ycea-pa.org/list/member/lebo-skin-care-center-6850
Ledge Inc.,"Spring Grove
PA
17362",(717) 965-6378,http://www.ledgeinc.com,Business Services,,https://business.ycea-pa.org/list/member/ledge-inc-19521
"Lia's Cleaning Service, LLC","3110 East Market St Suite E

York
PA
17402",(717) 578-7705,http://liascleaningservice.net,Cleaning & Janitorial Services,,https://business.ycea-pa.org/list/member/lia-s-cleaning-service-llc-23738
"MA Executive Cleaning Services, LLC","137 Beck Rd

York
PA
17403",(443) 465-8974,http://www.maexecutivecleaning.com,Cleaning & Janitorial Services,,https://business.ycea-pa.org/list/member/ma-executive-cleaning-services-llc-york-22838
Manpower,"1550 Kenneth Rd

York
PA
17408",(717) 764-7841,https://www.manpower.com/ManpowerUSA/home/!ut/p/z1/dYzLCsIwFES_ptvcSyOhuAtFSKQgumm9G0lL-qAxKWl04ddbcCXo7M5wZoCgAfLmOQ0mTcEbt_GVxG13UkKrEqvicMlRCn3Oucp5qTnUQECbgn8iEY5Agwvt5036lhcDULS9jTayR9zqMaVl3WeYoWO96Wwbwsy6cM_w12QMa4Lm24Rl9q_K1vIN6TFYKA!!/dz/d5/L0lDUmlTUSEhL3dHa0FKRnNBLzROV3FpQSEhL2VuX1VT/,Employment Services,,https://business.ycea-pa.org/list/member/manpower-1013
MANTEC,"600 North Hartley Street
Suite 100

York
PA
17404-2894",(717) 843-5054,http://www.mantec.org,Business Services,,https://business.ycea-pa.org/list/member/mantec-york-1015
"MASK-ET Services, LLC","795 Church Rd

York
PA
17404-1275",(866) 803-8088,http://www.masketservices.com,Coffee Service & Supplies,,https://business.ycea-pa.org/list/member/mask-et-services-llc-15812
"Master Staffing, LLC.","1800 E. Market St.

York
PA
17402",(717) 751-6000,http://Masterstaffing.net,Workforce Development,,https://business.ycea-pa.org/list/member/master-staffing-llc-22564
Master Window Cleaning,"1301 E Market St

York
PA
17403",(717) 846-1354,http://www.masterwindowcleaning.com,Window Cleaning,,https://business.ycea-pa.org/list/member/master-window-cleaning-york-1040
McNees Wallace & Nurick,"316 N. George St.

York
PA
17401",(717) 232-8000,http://www.mcneeslaw.com,Attorneys,,https://business.ycea-pa.org/list/member/mcnees-wallace-nurick-1043
MDS Engineering,"1 Rathton Road

York
PA
17403",(717) 803-3910,http://www.MDSengineering.com,Engineers - Design,,https://business.ycea-pa.org/list/member/mds-engineering-23139
"MedPoint Practice Solutions, Inc.","200 Bailey Drive Suite 7

Stewartstown
PA
17363",(443) 690-2075,http://www.medpointpracticesolutions.com,Consultants - Business,,https://business.ycea-pa.org/list/member/medpoint-practice-solutions-inc-23492
Micron Inspection and Calibration Services,"2870 Haymeadow Dr.

York
PA
17406",(717) 266-5775,http://www.micronpa.com,Laboratories,,https://business.ycea-pa.org/list/member/micron-inspection-and-calibration-services-19396
"Mid-Atlantic Valuation Group, Inc.","30 S Queen St

York
PA
17403",(717) 699-4434,http://www.mvginc.com,Real Estate - Appraisal Services,,https://business.ycea-pa.org/list/member/mid-atlantic-valuation-group-inc-7765
Miller Home Sales,"17880 Barrens Rd. N

Stewartstown
PA
17363",(717) 993-6456,,Real Estate - Property Management,,https://business.ycea-pa.org/list/member/miller-home-sales-21136
Mount Rose Barberama,"1160 Mount Rose Ave

York
PA
17403",(717) 843-7522,,Personal Services,,https://business.ycea-pa.org/list/member/mount-rose-barberama-york-5750
MPL Law Firm,"96 S. George Street
5th Floor

York
PA
17401",(717) 845-1524,http://www.mpl-law.com,Attorneys,,https://business.ycea-pa.org/list/member/mpl-law-firm-23864
MRG Laboratories,"410 Kings Mill Rd

York
PA
17401",(717) 843-8884,http://www.mrgcorp.com,Laboratories,,https://business.ycea-pa.org/list/member/mrg-laboratories-7027
Murphy & Dittenhafer Architects,"226 W Market St

York
PA
17401",(717) 848-8627,http://www.murphydittenhafer.com/,Architects,,https://business.ycea-pa.org/list/member/murphy-dittenhafer-architects-1121
New Concept Hair Studio,"376 E Market St

York
PA
17403",(717) 747-3838,,Personal Services,,https://business.ycea-pa.org/list/member/new-concept-hair-studio-23646
Next Move Marketing,"463 W. Market St, 3rd Fl.

York
PA
17401",(717) 764-1763,http://www.nextmovemarketing.com/,Business Services,,https://business.ycea-pa.org/list/member/next-move-marketing-20652
Nexterus Inc.,"802 Far Hills Dr

New Freedom
PA
17349",(717) 227-5000,http://www.nexterus.com,Logistics - Supply Chain Management,,https://business.ycea-pa.org/list/member/nexterus-inc-7625
Normandie Ridge,"1700 Normandie Dr

York
PA
17408",(717) 764-6262,http://www.normandieridge.org,Retirement Communities,,https://business.ycea-pa.org/list/member/normandie-ridge-1882
NorthPoint Development,"3315 N OAK TRFY

Riverside
MO
64116-2775",(816) 888-7380,http://www.beyondthecontract.com,Real Estate - Property Management,,https://business.ycea-pa.org/list/member/northpoint-development-20671
NUTEC,"3501 Concord Rd.

York
PA
17402",(717) 751-0300,https://www.teamnutec.com/,Engineers - Structural,,https://business.ycea-pa.org/list/member/nutec-1167
Office Pride Commercial Cleaning Services of York,"Stewartstown
PA
17363",(717) 501-1487,http://www.officepride.com/0346,Cleaning & Janitorial Services,,https://business.ycea-pa.org/list/member/office-pride-commercial-cleaning-services-of-york-22453
Offit Kurman,"1801 Market Street
Suite 2300

Philadelphia
PA
19103",(267) 338-1300,http://offitkurman.com,Attorneys,,https://business.ycea-pa.org/list/member/offit-kurman-philadelphia-23605
"Organic Remedies, Inc.","2215 WALNUT BOTTOM RD 

York
PA
 17408-9412",(717) 819-3895,http://www.OrganicRemediesPA.com,Cannabis,,https://business.ycea-pa.org/list/member/organic-remedies-inc-22526
Organization Development & Training,"Hanover
PA
17331",(717) 633-5331,,Consultants - Business,,https://business.ycea-pa.org/list/member/organization-development-training-20614
"PACE Resources, Inc.","445 W PHILADELPHIA ST

York
PA
17401-3383",(717) 852-1300,http://www.pace-resources.com/,Holding Companies,,https://business.ycea-pa.org/list/member/pace-resources-inc-14955
Paul Davis Restoration of Susquehanna Valley,"621 Lowther Rd

Lewisberry
PA
17339",(717) 614-1719,http://pdrsusqvalley.com,Fire & Water Restoration,,https://business.ycea-pa.org/list/member/paul-davis-restoration-of-susquehanna-valley-23220
Pennsylvania CareerLink York County,"841 Vogelsong Rd

York
PA
17404",(717) 767-7600,http://www.pacareerlink.state.pa.us,Employment Services,,https://business.ycea-pa.org/list/member/pennsylvania-careerlink-york-county-1809
Postal Connections 209,"211 Pauline Dr

York
PA
17402",(717) 718-1773,https://www.postalconnectionsyork.com,"Mail Delivery, Postage & Package Handling",,https://business.ycea-pa.org/list/member/postal-connections-209-23612
ProActive Leadership Group,"York
PA
17404",(717) 881-9015,http://www.resultsimproved.com,Consultants - Business,,https://business.ycea-pa.org/list/member/proactive-leadership-group-22395
Prodigy Spectrum Personal Care Home,"626 West Market Street

York
PA
17401",(717) 650-0051,http://www.prodigyspectrum.com,Real Estate - Property Management,,https://business.ycea-pa.org/list/member/prodigy-spectrum-personal-care-home-23153
"Production Express, Inc.","340 E Boundary Ave

York
PA
17403-3236",(717) 854-5265,http://www.proexp.com,Sound Systems & Equipment,,https://business.ycea-pa.org/list/member/production-express-inc-4366
"Property Management Enterprises, LLC  / The Apartment Gallery","1 Waterford Professional Center

York
PA
17402",(717) 757-7807,http://www.theapartmentgallery.com,Real Estate - Property Management,,https://business.ycea-pa.org/list/member/property-management-enterprises-llc-the-apartment-gallery-20913
Prospect Hill Cemetery & Cremation Gardens,"700 N George St

York
PA
17404",(717) 843-8006,http://www.prospecthill.org,"Cemetery, Memorial & Cremation Services",,https://business.ycea-pa.org/list/member/prospect-hill-cemetery-cremation-gardens-york-1299
Providence Engineering Corp.,"41 E Market St, Ste 100

York
PA
17401",(717) 793-3997,http://www.proveng.com,Engineers - Structural,,https://business.ycea-pa.org/list/member/providence-engineering-corp-15392
Real Life CPR LLC,"2782 S.Queen St.

Dallastown
PA
17313",(202) 495-1298,http://reallifecpr.org,Health & Nutrition,,https://business.ycea-pa.org/list/member/real-life-cpr-llc-23727
"Realtors Association of York & Adams Counties, Inc.","901 Smile Way

York
PA
17404",(717) 843-7891,http://www.rayac.com,Real Estate - Associations,,https://business.ycea-pa.org/list/member/realtors-association-of-york-adams-counties-inc-york-1817
Realty One Group Generations,"3995 E Market Street
Lower Level

York
Pennsylvania
17402",(717) 891-3873,https://www.roggenerations.com/,Real Estate - Residential,,https://business.ycea-pa.org/list/member/realty-one-group-generations-22830
Restoration Relief,"585 McAllister St

Hanover
PA
17331",(717) 656-7234,http://restorationrelief.com,Fire & Water Restoration,,https://business.ycea-pa.org/list/member/restoration-relief-hanover-23639
"Reynolds AV, LLC","250 Mummert's Church Rd

Abbottstown
PA
17301-9724",(717) 259-0288,http://www.reynoldsav.com,Sound Systems & Equipment,,https://business.ycea-pa.org/list/member/reynolds-av-llc-18223
